experiment_id,num_questions,EM,F1,retrieval_hit_rate,latency_p50_sec,latency_p95_sec,run_dir
e0_clean,300,0.6833,0.7061,0.8933,0.7248,1.0695,outputs/runs/e0_clean
e1_noisy_corpus,300,0.1700,0.2010,0.8500,0.9380,1.6304,outputs/runs/e1_noisy_corpus
